text,categories,word_type,frame_fit,number,bnc_pos,wordnet_pos,noun_supersense,n_words
victimizes,care.vice,verb,False,,,v,,1
torment,care.vice,noun,True,singular,,n|v,noun.state,1
destroy,care.vice,verb,False,,Verb:82,v,,1
brutalise,care.vice,verb,False,,,v,,1
brutalises,care.vice,verb,False,,,v,,1
distresses,care.vice,noun,True,plural,NoC:0,n|v,noun.feeling,1
endangering,care.vice,gerund,True,singular,,v,,1
mistreats,care.vice,verb,False,,,v,,1
afflict,care.vice,verb,False,,,v,,1
distressing,care.vice,gerund,True,singular,,a|v,,1
destroys,care.vice,verb,False,,Verb:2,v,,1
victimises,care.vice,verb,False,,,v,,1
maltreat,care.vice,verb,False,,,v,,1
pain,care.vice,noun,True,singular,NoC:157,n|v,noun.state,1
harsh,care.vice,adjective,False,,Adj:32,a,,1
mistreated,care.vice,adjective,False,,,a|v,,1
ravage,care.vice,verb,False,,,n|v,noun.event,1
threatened,care.vice,verb,False,,Verb:37,a|v,,1
harass,care.vice,verb,False,,,v,,1
unkindness,care.vice,noun,True,singular,,n,noun.attribute,1
afflicted,care.vice,adjective,False,,,a|v,,1
threatens,care.vice,verb,False,,Verb:6,v,,1
threatening,care.vice,gerund,True,singular,Verb:17,a|v,,1
distress,care.vice,noun,True,singular,NoC:30,n|v,noun.feeling,1
brutalize,care.vice,verb,False,,,v,,1
tormenting,care.vice,gerund,True,singular,,v,,1
brutalized,care.vice,verb,False,,,v,,1
victimizing,care.vice,gerund,True,singular,,v,,1
damager,care.vice,noun,False,singular,,,,1
damaged,care.vice,verb,False,,Verb:20,a|v,,1
bully,care.vice|authority.virtue,noun,False,singular,,a|n|v,noun.person,1
agony,care.vice,noun,True,singular,NoC:20,n,noun.feeling,1
abused,care.vice,verb,False,,Verb:7,a|v,,1
coldhearted,care.vice,adjective,False,,,a,,1
inhuman,care.vice,adjective,False,,,a,,1
injured,care.vice,verb,False,,Verb:21|Adj:11,a|v,,1
torments,care.vice,noun,True,plural,,n|v,noun.state,1
brutalizes,care.vice,verb,False,,,v,,1
uncompassionate,care.vice,adjective,False,,,a,,1
cruelty,care.vice,noun,True,singular,,n,noun.act,1
tormented,care.vice,verb,False,,,a|v,,1
mistreating,care.vice,gerund,True,singular,,v,,1
endangered,care.vice,verb,False,,,a|v,,1
uncaring,care.vice,adjective,False,,,a,,1
anguishes,care.vice,verb,False,,,n|v,noun.feeling,1
destroying,care.vice,gerund,True,singular,Verb:8,v,,1
killed,care.vice,verb,False,,Verb:86,v,,1
mistreatment,care.vice,noun,True,singular,,n,noun.act,1
bullied,care.vice|authority.virtue,verb,False,,,v,,1
harsher,care.vice,adjective,False,,Adj:1,a,,1
cruelness,care.vice,noun,True,singular,,n,noun.attribute,1
tortured,care.vice,verb,False,,,a|v,,1
pained,care.vice,verb,False,,,a|v,,1
tortures,care.vice,noun,True,plural,,n|v,noun.feeling,1
torturing,care.vice,gerund,True,singular,,a|n|v,noun.act,1
maltreated,care.vice,adjective,False,,,a|v,,1
anguish,care.vice,noun,True,singular,,n|v,noun.feeling,1
persecutes,care.vice,verb,False,,,v,,1
maltreatment,care.vice,noun,True,singular,,n,noun.act,1
brutalizing,care.vice,gerund,True,singular,,v,,1
attacked,care.vice,verb,False,,Verb:29,v,,1
victim,care.vice,noun,False,singular,NoC:108,n,noun.person,1
crying,care.vice,gerund,True,singular,Verb:14,a|n|v,noun.act,1
damages,care.vice,noun,True,plural,NoC:22|Verb:1,n|v,noun.possession,1
discomforting,care.vice,gerund,True,singular,,,,1
abusing,care.vice,gerund,True,singular,Verb:2,v,,1
threat,care.vice,noun,True,singular,NoC:127,n,noun.state,1
persecute,care.vice,verb,False,,,v,,1
brutalization,care.vice,noun,True,singular,,n,noun.state,1
violent,care.vice,adjective,False,,Adj:28,a,,1
annihilated,care.vice,adjective,False,,,a|v,,1
torturous,care.vice,adjective,False,,,a,,1
harasses,care.vice,verb,False,,,v,,1
injurer,care.vice,noun,False,singular,,,,1
destroyed,care.vice,verb,False,,Verb:31,a|v,,1
molests,care.vice,verb,False,,,v,,1
molest,care.vice,verb,False,,,v,,1
injuring,care.vice,gerund,True,singular,Verb:2,v,,1
afflicts,care.vice,verb,False,,,v,,1
killing,care.vice,gerund,True,singular,NoC:27|Verb:20,a|n|v,noun.event,1
ache,care.vice,verb,False,,,n|v,noun.state,1
persecuted,care.vice,verb,False,,,v,,1
ravages,care.vice,verb,False,,,n|v,noun.event,1
harassed,care.vice,verb,False,,,a|v,,1
exploited,care.vice|fairness.vice,verb,False,,Verb:9,a|v,,1
injury,care.vice,noun,True,singular,NoC:118,n,noun.state,1
brutalisation,care.vice,noun,True,singular,,n,noun.state,1
discomfort,care.vice,noun,True,singular,,n,noun.state,1
unmerciful,care.vice,adjective,False,,,a,,1
annihilate,care.vice,verb,False,,,v,,1
exploiters,care.vice|fairness.vice,noun,True,plural,,n,noun.person,1
injurers,care.vice,noun,True,plural,,,,1
destruction,care.vice,noun,True,singular,NoC:48,n,noun.act,1
manhandle,care.vice,verb,False,,,v,,1
kills,care.vice,verb,False,,Verb:5,n|v,noun.act,1
casualties,care.vice,noun,True,plural,NoC:10,n,noun.person,1
maltreating,care.vice,gerund,True,singular,,v,,1
victims,care.vice,noun,True,plural,NoC:29,n,noun.person,1
harassing,care.vice,gerund,True,singular,,v,,1
needier,care.vice,adjective,False,,,a,,1
smother,care.vice,verb,False,,,n|v,noun.state,1
harassment,care.vice,noun,True,singular,,n,noun.feeling,1
smothers,care.vice,verb,False,,,n|v,noun.state,1
unhelpful,care.vice,adjective,False,,,a,,1
agonize,care.vice,verb,False,,,v,,1
inhumanity,care.vice,noun,True,singular,,n,noun.attribute,1
duress,care.vice,noun,True,singular,,n,noun.attribute,1
victimization,care.vice,noun,True,singular,,n,noun.state,1
exploiting,care.vice|fairness.vice,gerund,True,singular,Verb:4,v,,1
cried,care.vice,verb,False,,Verb:30,v,,1
murderous,care.vice,adjective,False,,,a,,1
ravaged,care.vice,verb,False,,,a|v,,1
uncaringly,care.vice,adverb,False,,,,,1
pains,care.vice,noun,True,plural,NoC:11,n|v,noun.act,1
painfulness,care.vice,noun,True,singular,,n,noun.feeling,1
manhandles,care.vice,verb,False,,,v,,1
bullies,care.vice|authority.virtue,verb,False,,,n|v,noun.person,1
assaulted,care.vice,verb,False,,,v,,1
uncharitable,care.vice,adjective,False,,,a,,1
distressed,care.vice,adjective,False,,,a|v,,1
persecution,care.vice,noun,True,singular,,n,noun.act,1
murdered,care.vice,verb,False,,Verb:14,a|v,,1
ravaging,care.vice,gerund,True,singular,,a|n|v,noun.act,1
discomforted,care.vice,verb,False,,,,,1
exploitation,care.vice|fairness.vice,noun,True,singular,NoC:26,n,noun.act,1
torture,care.vice,noun,True,singular,,n|v,noun.feeling,1
murderers,care.vice,noun,True,plural,NoC:3,n,noun.person,1
aches,care.vice,verb,False,,,n|v,noun.state,1
afflictions,care.vice,noun,True,plural,,n,noun.state,1
ungenerous,care.vice,adjective,False,,,a,,1
victimizer,care.vice,noun,False,singular,,n,noun.person,1
agonizing,care.vice,gerund,True,singular,,a|v,,1
paining,care.vice,gerund,True,singular,,v,,1
persecuting,care.vice,gerund,True,singular,,v,,1
exploit,care.vice|fairness.vice,verb,False,,Verb:37,n|v,noun.act,1
harassers,care.vice,noun,True,plural,,n,noun.person,1
malevolent,care.vice,adjective,False,,,a,,1
stabs,care.vice,verb,False,,Verb:0,n|v,noun.feeling,1
sorrowful,care.vice,adjective,False,,,a,,1
assaults,care.vice,noun,True,plural,NoC:4,n|v,noun.act,1
needy,care.vice,noun,False,singular,,a|n,noun.group,1
affliction,care.vice,noun,True,singular,,n,noun.state,1
cries,care.vice,noun,True,plural,NoC:7|Verb:2,n|v,noun.communication,1
fighting,care.vice,gerund,True,singular,NoC:42|Verb:36,a|n|v,noun.act,1
fight,care.vice,verb,False,,Verb:148|NoC:63,n|v,noun.act,1
attack,care.vice,noun,True,singular,NoC:186|Verb:77,n|v,noun.act,1
annihilates,care.vice,verb,False,,,v,,1
sorrow,care.vice,noun,True,singular,,n|v,noun.feeling,1
agonized,care.vice,verb,False,,,a|v,,1
assaulting,care.vice,gerund,True,singular,,v,,1
inhospitable,care.vice,adjective,False,,,a,,1
threats,care.vice,noun,True,plural,NoC:14,n,noun.state,1
ached,care.vice,verb,False,,,v,,1
rapists,care.vice,noun,True,plural,,n,noun.person,1
abuser,care.vice,noun,False,singular,,n,noun.person,1
raped,care.vice,verb,False,,,a|v,,1
assassinates,care.vice,verb,False,,,v,,1
stabbed,care.vice,verb,False,,Verb:7,v,,1
inhospitality,care.vice,noun,True,singular,,n,noun.communication,1
annihilation,care.vice,noun,True,singular,,n,noun.act,1
punch,care.vice,noun,True,singular,NoC:20,n|v,noun.act,1
harshness,care.vice,noun,True,singular,,n,noun.attribute,1
abusers,care.vice,noun,True,plural,,n,noun.person,1
killer,care.vice,noun,False,singular,NoC:33,n,noun.person,1
sufferers,care.vice,noun,True,plural,NoC:7,n,noun.person,1
victimizers,care.vice,noun,True,plural,,n,noun.person,1
smite,care.vice,verb,False,,,v,,1
killers,care.vice,noun,True,plural,NoC:4,n,noun.person,1
discomforts,care.vice,noun,True,plural,,n,noun.state,1
fatalities,care.vice,noun,True,plural,,n,noun.event,1
molested,care.vice,verb,False,,,v,,1
brutality,care.vice,noun,True,singular,,n,noun.attribute,1
murdering,care.vice,gerund,True,singular,Verb:4,v,,1
torturer,care.vice,noun,False,singular,,n,noun.person,1
torturers,care.vice,noun,True,plural,,n,noun.person,1
fights,care.vice,noun,True,plural,NoC:5|Verb:2,n|v,noun.act,1
harmfulness,care.vice,noun,True,singular,,n,noun.attribute,1
bullying,care.vice|authority.virtue,gerund,True,singular,,a|n|v,noun.act,1
casualty,care.vice,noun,False,singular,NoC:24,n,noun.person,1
sufferer,care.vice,noun,False,singular,NoC:19,n,noun.person,1
exploiter,care.vice|fairness.vice,noun,False,singular,,n,noun.person,1
fatality,care.vice,noun,True,singular,,n,noun.event,1
punches,care.vice,noun,True,plural,NoC:2,n|v,noun.act,1
abuses,care.vice,noun,True,plural,NoC:3|Verb:1,n|v,noun.act,1
attacks,care.vice,noun,True,plural,NoC:31|Verb:3,n|v,noun.act,1
carnage,care.vice,noun,True,singular,,n,noun.act,1
tribulation,care.vice,noun,True,singular,,n,noun.event,1
annihilator,care.vice,noun,False,singular,,n,noun.person,1
smothering,care.vice,gerund,True,singular,,a|v,,1
bullyboy,care.vice,noun,False,singular,,n,noun.person,1
murderer,care.vice,noun,False,singular,NoC:20,n,noun.person,1
stabber,care.vice,noun,False,singular,,n,noun.person,1
tormenters,care.vice,noun,True,plural,,n,noun.person,1
malevolence,care.vice,noun,True,singular,,n,noun.feeling,1
raping,care.vice,gerund,True,singular,,v,,1
smothered,care.vice,verb,False,,,a|v,,1
assault,care.vice,noun,True,singular,NoC:48,n|v,noun.act,1
genocidal,care.vice,adjective,False,,,,,1
anguishing,care.vice,gerund,True,singular,,v,,1
aching,care.vice,gerund,True,singular,,a|n|v,noun.state,1
anguished,care.vice,verb,False,,,a|v,,1
