source_persona,source_category,rank_in_group,token,target_persona,target_category,pair_type,cosine
a woman,gender,3,_modules,a Hindu,religion,"different persona, across category",0.13002474250160712
a woman,gender,3,_modules,a Jehovah's Witness,religion,"different persona, across category",-0.07231653215599032
a woman,gender,3,_modules,a Jewish person,religion,"different persona, across category",0.03465485568176523
a woman,gender,3,_modules,a Mormon,religion,"different persona, across category",0.00610127194920452
a woman,gender,3,_modules,an Orthodox Christian,religion,"different persona, across category",0.0009324065799479572
a woman,gender,3,_modules,a Protestant,religion,"different persona, across category",0.0849753278408088
a woman,gender,3,_modules,a Satanist,religion,"different persona, across category",0.07801248625340736
a woman,gender,3,_modules,a Scientologist,religion,"different persona, across category",0.05023800859459633
a woman,gender,3,_modules,a Shia Muslim,religion,"different persona, across category",0.07902127062205093
a woman,gender,3,_modules,a Sikh,religion,"different persona, across category",0.09968579325353089
a woman,gender,3,_modules,a Sunni Muslim,religion,"different persona, across category",0.08101137759820431
a woman,gender,3,_modules,an anarchist,political,"different persona, across category",0.02741613949173432
a woman,gender,3,_modules,a centrist,political,"different persona, across category",0.025641528913989867
a woman,gender,3,_modules,a communist,political,"different persona, across category",0.07171558892056136
a woman,gender,3,_modules,a conservative,political,"different persona, across category",0.009267154289316088
a woman,gender,3,_modules,a Democrat,political,"different persona, across category",-0.027755126142159425
a woman,gender,3,_modules,a far-left person,political,"different persona, across category",-0.01956903936037176
a woman,gender,3,_modules,a far-right person,political,"different persona, across category",-0.012327595466385366
a woman,gender,3,_modules,a Green Party supporter,political,"different persona, across category",-0.05939475612340162
a woman,gender,3,_modules,an Islamist,political,"different persona, across category",0.1083219020565761
a woman,gender,3,_modules,a liberal,political,"different persona, across category",0.03391644639874876
a woman,gender,3,_modules,a libertarian,political,"different persona, across category",0.05572050163070101
a woman,gender,3,_modules,a nationalist,political,"different persona, across category",0.0545886595568427
a woman,gender,3,_modules,a Republican,political,"different persona, across category",0.021235506227004833
a woman,gender,3,_modules,a social democrat,political,"different persona, across category",-0.01507297480486124
a woman,gender,3,_modules,a socialist,political,"different persona, across category",0.030244154782631757
a woman,gender,3,_modules,a Zionist,political,"different persona, across category",0.1435404155534475
a Black woman,intersectional,2,_variables,a Black person,race,"different persona, across category",0.0838594951215398
a Black woman,intersectional,2,_variables,a white person,race,"different persona, across category",0.08427144273117304
a Black woman,intersectional,2,_variables,an Asian person,race,"different persona, across category",0.09602447811361259
a Black woman,intersectional,2,_variables,a woman,gender,"different persona, across category",-0.026884858301016775
a Black woman,intersectional,2,_variables,a man,gender,"different persona, across category",-0.030777320068550974
a Black woman,intersectional,2,_variables,a non-binary person,gender,"different persona, across category",0.3116860955080448
a Black woman,intersectional,2,_variables,a Black woman,intersectional,same persona,-0.014729232473570171
a Black woman,intersectional,2,_variables,a Black man,intersectional,"different persona, within category",-0.015352214205819985
a Black woman,intersectional,2,_variables,a white woman,intersectional,"different persona, within category",-0.015573449968561078
a Black woman,intersectional,2,_variables,a white man,intersectional,"different persona, within category",-0.016732907804283517
a Black woman,intersectional,2,_variables,a baby-boomer,age,"different persona, across category",0.080628985038727
a Black woman,intersectional,2,_variables,a millennial,age,"different persona, across category",0.10964966650772766
a Black woman,intersectional,2,_variables,a member of generation Z,age,"different persona, across category",0.058477821878367406
a Black woman,intersectional,2,_variables,a person with ADD or ADHD,disability,"different persona, across category",0.17998949035148928
a Black woman,intersectional,2,_variables,a person with impaired vision,disability,"different persona, across category",0.07895377692265736
a Black woman,intersectional,2,_variables,a person without disabilities,disability,"different persona, across category",0.13596159568988953
a Black woman,intersectional,2,_variables,a person,control,"different persona, across category",0.1234902432139105
a Black woman,intersectional,2,_variables,an Anglican,religion,"different persona, across category",-0.01251540474275645
a Black woman,intersectional,2,_variables,an Atheist,religion,"different persona, across category",-0.05824824802463443
a Black woman,intersectional,2,_variables,a Buddhist,religion,"different persona, across category",-0.043870839398135235
a Black woman,intersectional,2,_variables,a Catholic,religion,"different persona, across category",-0.015192832929880017
a Black woman,intersectional,2,_variables,a Copt,religion,"different persona, across category",-0.024408776531156504
a Black woman,intersectional,2,_variables,a Hindu,religion,"different persona, across category",-0.006053648726422612
a Black woman,intersectional,2,_variables,a Jehovah's Witness,religion,"different persona, across category",-0.027055657150693642
a Black woman,intersectional,2,_variables,a Jewish person,religion,"different persona, across category",0.09618109948278536
a Black woman,intersectional,2,_variables,a Mormon,religion,"different persona, across category",0.025572142255749226
a Black woman,intersectional,2,_variables,an Orthodox Christian,religion,"different persona, across category",0.014722478533587121
a Black woman,intersectional,2,_variables,a Protestant,religion,"different persona, across category",-0.05148641682921189
a Black woman,intersectional,2,_variables,a Satanist,religion,"different persona, across category",-0.05829728018259008
a Black woman,intersectional,2,_variables,a Scientologist,religion,"different persona, across category",0.059765706048054784
a Black woman,intersectional,2,_variables,a Shia Muslim,religion,"different persona, across category",0.007913847322416253
