source_persona,source_category,rank_in_group,token,target_persona,target_category,pair_type,cosine
a Black person,race,3,LOVE,a Jewish person,religion,"different persona, across category",0.024902039843361413
a Black person,race,3,LOVE,a Mormon,religion,"different persona, across category",0.08090474481939475
a Black person,race,3,LOVE,an Orthodox Christian,religion,"different persona, across category",0.07830615880401026
a Black person,race,3,LOVE,a Protestant,religion,"different persona, across category",0.0169656527112527
a Black person,race,3,LOVE,a Satanist,religion,"different persona, across category",0.1500541378026275
a Black person,race,3,LOVE,a Scientologist,religion,"different persona, across category",0.14933756281048965
a Black person,race,3,LOVE,a Shia Muslim,religion,"different persona, across category",0.05110466321527485
a Black person,race,3,LOVE,a Sikh,religion,"different persona, across category",0.03206767675463428
a Black person,race,3,LOVE,a Sunni Muslim,religion,"different persona, across category",0.01970742215296807
a Black person,race,3,LOVE,an anarchist,political,"different persona, across category",0.10871147387178108
a Black person,race,3,LOVE,a centrist,political,"different persona, across category",-0.038748237054045245
a Black person,race,3,LOVE,a communist,political,"different persona, across category",0.046274552488011905
a Black person,race,3,LOVE,a conservative,political,"different persona, across category",-0.010629468326986037
a Black person,race,3,LOVE,a Democrat,political,"different persona, across category",-0.043405665183552676
a Black person,race,3,LOVE,a far-left person,political,"different persona, across category",-0.009685074311398603
a Black person,race,3,LOVE,a far-right person,political,"different persona, across category",0.03300232670697403
a Black person,race,3,LOVE,a Green Party supporter,political,"different persona, across category",0.07517666489910671
a Black person,race,3,LOVE,an Islamist,political,"different persona, across category",0.09249840437331708
a Black person,race,3,LOVE,a liberal,political,"different persona, across category",0.06666380857862848
a Black person,race,3,LOVE,a libertarian,political,"different persona, across category",0.1021633529603048
a Black person,race,3,LOVE,a nationalist,political,"different persona, across category",0.016720973854771004
a Black person,race,3,LOVE,a Republican,political,"different persona, across category",-0.036636697917392824
a Black person,race,3,LOVE,a social democrat,political,"different persona, across category",0.12710172260605596
a Black person,race,3,LOVE,a socialist,political,"different persona, across category",0.0899027422199157
a Black person,race,3,LOVE,a Zionist,political,"different persona, across category",0.05430194046216761
a Black person,race,4,FAMILY,a Black person,race,same persona,0.04832312089601772
a Black person,race,4,FAMILY,a white person,race,"different persona, within category",0.06882545796212684
a Black person,race,4,FAMILY,an Asian person,race,"different persona, within category",0.07647079178478468
a Black person,race,4,FAMILY,a woman,gender,"different persona, across category",0.19090605644267253
a Black person,race,4,FAMILY,a man,gender,"different persona, across category",0.1861053794219779
a Black person,race,4,FAMILY,a non-binary person,gender,"different persona, across category",0.06677049707322626
a Black person,race,4,FAMILY,a Black woman,intersectional,"different persona, across category",0.12689433578298287
a Black person,race,4,FAMILY,a Black man,intersectional,"different persona, across category",0.11215285349995696
